round,n,best_cip,best_agg,mae_cip,mae_agg,seed
0,10,0.7109817772551458,0.389001656313049,0.012864147443691265,0.011708579583415953,1
1,14,0.7509743399074905,0.43521526816524175,0.018857502783793157,0.01367299171699984,1
2,18,0.7597763941583736,0.4368756392246405,0.011985042178813066,0.010914221590054759,1
3,22,0.770529414449051,0.4368756392246405,0.013648073928299259,0.00716880345443716,1
4,26,0.770529414449051,0.4368756392246405,0.010061257660587812,0.003982150729323646,1
5,30,0.770529414449051,0.44328677292934926,0.00828371482750803,0.003140436967249781,1
0,10,0.6765308197772305,0.4051832734111239,0.03603104134230111,0.02163736608632219,2
1,14,0.7368538959381487,0.4072929225708792,0.02331768573650379,0.020680874365723696,2
2,18,0.7484834287897397,0.43538561957454586,0.01628797017540327,0.009510758171229948,2
3,22,0.7484834287897397,0.43538561957454586,0.012299633018665714,0.004806683470138586,2
4,26,0.780179218235529,0.45386609343398315,0.008301694157303585,0.004533835068548201,2
5,30,0.780179218235529,0.45386609343398315,0.005996457250221677,0.004595023428127282,2
0,10,0.6590022234557834,0.3785039718911075,0.021487829074542688,0.027918786970116675,3
1,14,0.7627477366988905,0.3785039718911075,0.010775767595581763,0.013943615097897575,3
2,18,0.7627477366988905,0.4236170731034909,0.012712562424519737,0.012787588641410295,3
3,22,0.7627477366988905,0.4236170731034909,0.011278699830509064,0.011496535110054449,3
4,26,0.7627477366988905,0.4380670771280471,0.008888722889970922,0.007881420007785418,3
5,30,0.7627477366988905,0.4380670771280471,0.006140948225931535,0.006952370743359906,3
