candidate,round,id,LiTFSI,FEC,MDFA,TFB,ssip,cip,agg,pred_agg,agg_ci_low,agg_ci_high,pred_cip,sd_cip,pred_ssip,sd_ssip,acq,sigma_agg
1,BO-AGG,1,0.091093,0.196619,0.226926,0.485362,,,,0.347955,0.0,0.748267,0.500776,0.167906,0.150122,0.056469,0.072855,0.204241
2,BO-AGG,2,0.050561,0.149936,0.447821,0.351682,,,,0.316214,0.0,0.756184,0.529331,0.182599,0.165172,0.069113,0.078377,0.224474
